id;original_name;genus;species;species_auth;infrasp1_rank;infrasp1;infrasp1_auth;infrasp2_rank;infrasp2;infrasp2_auth
26431;Verbena teucrioides Gillies & Hook.;Verbena;teucrioides;Gillies & Hook.;;;;;;
26432;Verbena triphylla L’Hér.;Verbena;triphylla;L’Her.;;;;;;
26433;Verbena venosa Gillies & Hook.;Verbena;venosa;Gillies & Hook.;;;;;;
26434;Verbesina alba L.;Verbesina;alba;L.;;;;;;
26435;Verbesina calendulacea L.;Verbesina;calendulacea;L.;;;;;;
26436;Verbesina prostrata L.;Verbesina;prostrata;L.;;;;;;
26437;Verdcourtia lignosa (L.) R.Wilczek;Verdcourtia;lignosa;(L. ) R. Wilczek;;;;;;
26438;Veronica apennina Tausch;Veronica;apennina;Tausch;;;;;;
26439;Veronica austriaca auct. p.p.;Veronica;austriaca;auct. p. p.;;;;;;
26440;Veronica austriaca auct. p.p.;Veronica;austriaca;auct. p. p.;;;;;;
26441;Veronica austriaca L. subsp. teucrium auct.;Veronica;austriaca;L.;subsp;teucrium;auct.;;;
26442;Veronica barrelieri H.Schott ex Roem. & Schult. var. nitens (Host) Lazzeri;Veronica;barrelieri;H. Schott ex Roem. & Schult.;var;nitens;(Host) Lazzeri;;;
26443;Veronica brevistyla Moris;Veronica;brevistyla;Moris;;;;;;
26444;Veronica buxbaumii Ten., non F.W.Schmidt, nom. illeg.;Veronica;buxbaumii;Ten. , non F. W. Schmidt, nom. illeg.;;;;;;
26445;Veronica chamaedrys L. subsp. vindobonensis M.Fisch.;Veronica;chamaedrys;L.;subsp;vindobonensis;M. Fisch.;;;
26446;Veronica chilensis Kunth;Veronica;chilensis;Kunth;;;;;;
26447;Veronica hederifolia L. subsp. lucorum (Klett & Richt.) Hartl;Veronica;hederifolia;L.;subsp;lucorum;(Klett & Richt. ) Hartl;;;
26448;Veronica hederifolia L. subsp. triloba (Opiz) ?elak.;Veronica;hederifolia;L.;subsp;triloba;(Opiz) Celak.;;;
26449;Veronica hostii Moretti;Veronica;hostii;Moretti;;;;;;
26450;Veronica humifusa Dicks.;Veronica;humifusa;Dicks.;;;;;;
26451;Veronica jacquinii Baumg.;Veronica;jacquinii;Baumg.;;;;;;
26452;Veronica longifolia auct. Fl. Ital.;Veronica;longifolia;auct. Fl. Ital.;;;;;;
26453;Veronica longistyla Ball;Veronica;longistyla;Ball;;;;;;
26454;Veronica panormitana Tineo ex Guss.;Veronica;panormitana;Tineo ex Guss.;;;;;;
26455;Veronica peregrina L. var. xalapensis (Kunth) Pennell;Veronica;peregrina;L.;var;xalapensis;(Kunth) Pennell;;;
26456;Veronica pumila All.;Veronica;pumila;All.;;;;;;
26457;Veronica serpyllifolia L. subsp. apennina (Tausch) Rouy;Veronica;serpyllifolia;L.;subsp;apennina;(Tausch) Rouy;;;
26458;Veronica serpyllifolia L. subsp. humifusa (Dicks.) Syme;Veronica;serpyllifolia;L.;subsp;humifusa;(Dicks. ) Syme;;;
