id;original_name;genus;species;species_auth;infrasp1_rank;infrasp1;infrasp1_auth;infrasp2_rank;infrasp2;infrasp2_auth
0;Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago;Huperzia;selago;(L. ) Bernh. ex Schrank & Mart.;subsp;selago;;;;
1;Spinulum annotinum (L.) A.Haines subsp. annotinum;Spinulum;annotinum;(L. ) A. Haines;subsp;annotinum;;;;
2;Lycopodium clavatum L.;Lycopodium;clavatum;L.;;;;;;
3;Diphasiastrum alpinum (L.) Holub;Diphasiastrum;alpinum;(L. ) Holub;;;;;;
4;Diphasiastrum complanatum (L.) Holub;Diphasiastrum;complanatum;(L. ) Holub;;;;;;
5;Diphasiastrum tristachyum (Pursh) Holub;Diphasiastrum;tristachyum;(Pursh) Holub;;;;;;
6;Diphasiastrum issleri (Rouy) Holub;Diphasiastrum;issleri;(Rouy) Holub;;;;;;
7;Diphasiastrum oellgaardii Stoor, Boudrie, Jérôme, Horn & Bennert;Diphasiastrum;oellgaardii;Stoor, Boudrie, Jerome, Horn & Bennert;;;;;;
8;Diphasiastrum zeilleri (Rouy) Holub;Diphasiastrum;zeilleri;(Rouy) Holub;;;;;;
9;Lycopodiella inundata (L.) Holub;Lycopodiella;inundata;(L. ) Holub;;;;;;
10;Selaginella selaginoides (L.) P.Beauv. ex Schrank & Mart.;Selaginella;selaginoides;(L. ) P. Beauv. ex Schrank & Mart.;;;;;;
11;Selaginella helvetica (L.) Spring;Selaginella;helvetica;(L. ) Spring;;;;;;
12;Selaginella denticulata (L.) Spring;Selaginella;denticulata;(L. ) Spring;;;;;;
13;Isoëtes lacustris L.;Isoetes;lacustris;L.;;;;;;
14;Isoëtes echinospora Durieu;Isoetes;echinospora;Durieu;;;;;;
15;Isoëtes malinverniana Ces. & De Not.;Isoetes;malinverniana;Ces. & De Not.;;;;;;
16;Isoëtes longissima Bory;Isoetes;longissima;Bory;;;;;;
17;Isoëtes tiguliana Gennari;Isoetes;tiguliana;Gennari;;;;;;
18;Isoëtes histrix Bory;Isoetes;histrix;Bory;;;;;;
19;Isoëtes durieui Bory;Isoetes;durieui;Bory;;;;;;
20;Isoëtes gymnocarpa (Gennari) A.Braun;Isoetes;gymnocarpa;(Gennari) A. Braun;;;;;;
21;Equisetum ramosissimum Desf.;Equisetum;ramosissimum;Desf.;;;;;;
22;Equisetum hyemale L.;Equisetum;hyemale;L.;;;;;;
23;Equisetum variegatum Schleich. ex F.Weber & D.Mohr;Equisetum;variegatum;Schleich. ex F. Weber & D. Mohr;;;;;;
24;Equisetum fluviatile L.;Equisetum;fluviatile;L.;;;;;;
25;Equisetum palustre L.;Equisetum;palustre;L.;;;;;;
26;Equisetum telmateia Ehrh.;Equisetum;telmateia;Ehrh.;;;;;;
27;Equisetum arvense L.;Equisetum;arvense;L.;;;;;;
28;Equisetum sylvaticum L.;Equisetum;sylvaticum;L.;;;;;;
29;Equisetum pratense Ehrh.;Equisetum;pratense;Ehrh.;;;;;;
30;Botrychium lunaria (L.) Sw.;Botrychium;lunaria;(L. ) Sw.;;;;;;
31;Botrychium simplex E.Hitchc.;Botrychium;simplex;E. Hitchc.;;;;;;
32;Botrychium matricariifolium (A.Braun ex Döll) W.D.J.Koch;Botrychium;matricariifolium;(A. Braun ex Doll) W. D. J. Koch;;;;;;
33;Botrychium lanceolatum (S.G.Gmel.) Ångstr.;Botrychium;lanceolatum;(S. G. Gmel. ) Angstr.;;;;;;
34;Sceptridium multifidum (S.G.Gmel.) M.Nishida ex Tagawa;Sceptridium;multifidum;(S. G. Gmel. ) M. Nishida ex Tagawa;;;;;;
35;Botrypus virginianus (L.) Michx.;Botrypus;virginianus;(L. ) Michx.;;;;;;
36;Ophioglossum lusitanicum L.;Ophioglossum;lusitanicum;L.;;;;;;
37;Ophioglossum vulgatum L.;Ophioglossum;vulgatum;L.;;;;;;
38;Ophioglossum azoricum C.Presl;Ophioglossum;azoricum;C. Presl;;;;;;
39;Osmunda regalis L.;Osmunda;regalis;L.;;;;;;
40;Polypodium cambricum L.;Polypodium;cambricum;L.;;;;;;
41;Polypodium vulgare L.;Polypodium;vulgare;L.;;;;;;
42;Polypodium interjectum Shivas;Polypodium;interjectum;Shivas;;;;;;
43;Oeosporangium pteridioides (Reichard) Fraser-Jenk. & Pariyar;Oeosporangium;pteridioides;(Reichard) FraserJenk. & Pariyar;;;;;;
44;Oeosporangium persicum (Bory) Vis.;Oeosporangium;persicum;(Bory) Vis.;;;;;;
45;Oeosporangium acrosticum (Balb.) L.Sáez & Aymerich;Oeosporangium;acrosticum;(Balb. ) L. Saez & Aymerich;;;;;;
46;Oeosporangium tinaei (Tod.) Fraser-Jenk.;Oeosporangium;tinaei;(Tod. ) FraserJenk.;;;;;;
47;Oeosporangium guanchicum (Bolle) Fraser-Jenk. & Pariyar;Oeosporangium;guanchicum;(Bolle) FraserJenk. & Pariyar;;;;;;
48;Paragymnopteris marantae (L.) K.H.Shing subsp. marantae;Paragymnopteris;marantae;(L. ) K. H. Shing;subsp;marantae;;;;
49;Cryptogramma crispa (L.) R.Br. ex Hook.;Cryptogramma;crispa;(L. ) R. Br. ex Hook.;;;;;;
50;Pteris vittata L.;Pteris;vittata;L.;;;;;;
51;Pteris cretica L.;Pteris;cretica;L.;;;;;;
52;Pteris multifida Poir.;Pteris;multifida;Poir.;;;;;;
53;Adiantum capillus-veneris L.;Adiantum;capillusveneris;L.;;;;;;
54;Anogramma leptophylla (L.) Link;Anogramma;leptophylla;(L. ) Link;;;;;;
55;Cosentinia vellea (Aiton) Tod. subsp. vellea;Cosentinia;vellea;(Aiton) Tod.;subsp;vellea;;;;
56;Nephrolepis cordifolia (L.) C.Presl;Nephrolepis;cordifolia;(L. ) C. Presl;;;;;;
57;Marsilea quadrifolia L.;Marsilea;quadrifolia;L.;;;;;;
58;Marsilea strigosa Willd.;Marsilea;strigosa;Willd.;;;;;;
59;Pilularia minuta Durieu;Pilularia;minuta;Durieu;;;;;;
60;Pilularia globulifera L.;Pilularia;globulifera;L.;;;;;;
61;Hymenophyllum tunbrigense (L.) Sm.;Hymenophyllum;tunbrigense;(L. ) Sm.;;;;;;
62;Vandenboschia speciosa (Willd.) G.Kunkel;Vandenboschia;speciosa;(Willd. ) G. Kunkel;;;;;;
63;Pteridium aquilinum (L.) Kuhn subsp. aquilinum;Pteridium;aquilinum;(L. ) Kuhn;subsp;aquilinum;;;;
64;Phegopteris connectilis (Michx.) Watt;Phegopteris;connectilis;(Michx. ) Watt;;;;;;
65;Oreopteris limbosperma (All.) Holub;Oreopteris;limbosperma;(All. ) Holub;;;;;;
66;Thelypteris palustris Schott;Thelypteris;palustris;Schott;;;;;;
67;Christella dentata (Forssk.) Brownsey & Jermy;Christella;dentata;(Forssk. ) Brownsey & Jermy;;;;;;
68;Asplenium onopteris L.;Asplenium;onopteris;L.;;;;;;
69;Asplenium cuneifolium Viv. subsp. cuneifolium;Asplenium;cuneifolium;Viv.;subsp;cuneifolium;;;;
70;Asplenium adiantum-nigrum L. subsp. adiantum-nigrum;Asplenium;adiantumnigrum;L.;subsp;adiantumnigrum;;;;
71;Asplenium obovatum Viv.;Asplenium;obovatum;Viv.;;;;;;
72;Asplenium obovatum Viv. subsp. obovatum;Asplenium;obovatum;Viv.;subsp;obovatum;;;;
73;Asplenium obovatum Viv. subsp. billotii (F.W.Schultz ) O.Bolòs, Vigo, Masalles & Ninot;Asplenium;obovatum;Viv.;subsp;billotii;(F. W. Schultz ) O. Bolos, Vigo, Masalles & Ninot;;;
74;Asplenium balearicum Shivas;Asplenium;balearicum;Shivas;;;;;;
75;Asplenium fontanum (L.) Bernh. subsp. fontanum;Asplenium;fontanum;(L. ) Bernh.;subsp;fontanum;;;;
76;Asplenium foreziense Le Grand ex Magnier;Asplenium;foreziense;Le Grand ex Magnier;;;;;;
77;Asplenium petrarchae (Guérin) DC. subsp. petrarchae;Asplenium;petrarchae;(Guerin) DC.;subsp;petrarchae;;;;
78;Asplenium trichomanes L.;Asplenium;trichomanes;L.;;;;;;
79;Asplenium trichomanes L. subsp. trichomanes;Asplenium;trichomanes;L.;subsp;trichomanes;;;;
80;Asplenium trichomanes L. subsp. inexpectans Lovis;Asplenium;trichomanes;L.;subsp;inexpectans;Lovis;;;
81;Asplenium trichomanes L. subsp. quadrivalens D.E.Mey.;Asplenium;trichomanes;L.;subsp;quadrivalens;D. E. Mey.;;;
82;Asplenium trichomanes L. subsp. pachyrachis (Christ) Lovis & Reichst.;Asplenium;trichomanes;L.;subsp;pachyrachis;(Christ) Lovis & Reichst.;;;
83;Asplenium viride Huds.;Asplenium;viride;Huds.;;;;;;
84;Asplenium adulterinum Milde;Asplenium;adulterinum;Milde;;;;;;
85;Asplenium presolanense (Mokry, Rasbach & Reichst.) J.C.Vogel & Rumsey;Asplenium;presolanense;(Mokry, Rasbach & Reichst. ) J. C. Vogel & Rumsey;;;;;;
86;Asplenium marinum L.;Asplenium;marinum;L.;;;;;;
87;Asplenium fissum Kit. ex Willd.;Asplenium;fissum;Kit. ex Willd.;;;;;;
88;Asplenium ruta-muraria L.;Asplenium;rutamuraria;L.;;;;;;
89;Asplenium ruta-muraria L. subsp. ruta-muraria;Asplenium;rutamuraria;L.;subsp;rutamuraria;;;;
90;Asplenium ruta-muraria L. subsp. dolomiticum Lovis & Reichst.;Asplenium;rutamuraria;L.;subsp;dolomiticum;Lovis & Reichst.;;;
91;Asplenium lepidum C.Presl subsp. lepidum;Asplenium;lepidum;C. Presl;subsp;lepidum;;;;
92;Asplenium seelosii Leyb. subsp. seelosii;Asplenium;seelosii;Leyb.;subsp;seelosii;;;;
93;Asplenium septentrionale (L.) Hoffm. subsp. septentrionale;Asplenium;septentrionale;(L. ) Hoffm.;subsp;septentrionale;;;;
94;Asplenium ceterach L.;Asplenium;ceterach;L.;;;;;;
95;Asplenium ceterach L. subsp. ceterach;Asplenium;ceterach;L.;subsp;ceterach;;;;
96;Asplenium ceterach L. subsp. bivalens (D.E.Mey.) Greuter & Burdet;Asplenium;ceterach;L.;subsp;bivalens;(D. E. Mey. ) Greuter & Burdet;;;
97;Asplenium scolopendrium L. subsp. scolopendrium;Asplenium;scolopendrium;L.;subsp;scolopendrium;;;;
98;Asplenium sagittatum (DC.) Bange;Asplenium;sagittatum;(DC. ) Bange;;;;;;
99;Matteuccia struthiopteris (L.) Tod.;Matteuccia;struthiopteris;(L. ) Tod.;;;;;;
100;Woodsia ilvensis (L.) R.Br.;Woodsia;ilvensis;(L. ) R. Br.;;;;;;
101;Woodsia alpina (Bolton) Gray;Woodsia;alpina;(Bolton) Gray;;;;;;
102;Woodsia pulchella Bertol.;Woodsia;pulchella;Bertol.;;;;;;
103;Cystopteris fragilis (L.) Bernh.;Cystopteris;fragilis;(L. ) Bernh.;;;;;;
104;Cystopteris diaphana (Bory) Blasdell;Cystopteris;diaphana;(Bory) Blasdell;;;;;;
105;Cystopteris alpina (Lam.) Desv.;Cystopteris;alpina;(Lam. ) Desv.;;;;;;
106;Cystopteris dickieana R.Sim;Cystopteris;dickieana;R. Sim;;;;;;
107;Cystopteris montana (Lam.) Bernh. ex Desv.;Cystopteris;montana;(Lam. ) Bernh. ex Desv.;;;;;;
108;Cystopteris sudetica A.Braun & Milde;Cystopteris;sudetica;A. Braun & Milde;;;;;;
109;Gymnocarpium dryopteris (L.) Newman;Gymnocarpium;dryopteris;(L. ) Newman;;;;;;
110;Gymnocarpium robertianum (Hoffm.) Newman;Gymnocarpium;robertianum;(Hoffm. ) Newman;;;;;;
111;Athyrium filix-femina (L.) Roth;Athyrium;filixfemina;(L. ) Roth;;;;;;
112;Pseudathyrium alpestre (Hoppe) Newman;Pseudathyrium;alpestre;(Hoppe) Newman;;;;;;
113;Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy;Dryopteris;expansa;(C. Presl) FraserJenk. & Jermy;;;;;;
114;Dryopteris remota (A.Braun ex Döll) Druce;Dryopteris;remota;(A. Braun ex Doll) Druce;;;;;;
115;Dryopteris dilatata (Hoffm.) A.Gray;Dryopteris;dilatata;(Hoffm. ) A. Gray;;;;;;
116;Dryopteris carthusiana (Vill.) H.P.Fuchs;Dryopteris;carthusiana;(Vill. ) H. P. Fuchs;;;;;;
117;Dryopteris cristata (L.) A.Gray;Dryopteris;cristata;(L. ) A. Gray;;;;;;
118;Dryopteris pallida (Bory) Maire & Petitm. subsp. pallida;Dryopteris;pallida;(Bory) Maire & Petitm.;subsp;pallida;;;;
119;Dryopteris villarii (Bellardi) Woyn. ex Schinz & Thell.;Dryopteris;villarii;(Bellardi) Woyn. ex Schinz & Thell.;;;;;;
120;Dryopteris mindshelkensis Pavlov;Dryopteris;mindshelkensis;Pavlov;;;;;;
121;Dryopteris tyrrhena Fraser-Jenk. & Reichst.;Dryopteris;tyrrhena;FraserJenk. & Reichst.;;;;;;
122;Dryopteris oreades Fomin;Dryopteris;oreades;Fomin;;;;;;
123;Dryopteris filix-mas (L.) Schott;Dryopteris;filixmas;(L. ) Schott;;;;;;
124;Dryopteris pseudomas (Woll.) Holub & Pouzar subsp. pseudomas;Dryopteris;pseudomas;(Woll. ) Holub & Pouzar;subsp;pseudomas;;;;
125;Dryopteris borreri (Newman) Kinahan;Dryopteris;borreri;(Newman) Kinahan;;;;;;
126;Dryopteris cambrensis (Fraser-Jenk.) Beitel & W.R.Buck subsp. insubrica (Oberh. & Tavel ex Fraser-Jenk.) Fraser-Jenk.;Dryopteris;cambrensis;(FraserJenk. ) Beitel & W. R. Buck;subsp;insubrica;(Oberh. & Tavel ex FraserJenk. ) FraserJenk.;;;
127;Polystichum lonchitis (L.) Roth;Polystichum;lonchitis;(L. ) Roth;;;;;;
128;Polystichum setiferum (Forssk.) T.Moore ex Woyn.;Polystichum;setiferum;(Forssk. ) T. Moore ex Woyn.;;;;;;
129;Polystichum aculeatum (L.) Roth;Polystichum;aculeatum;(L. ) Roth;;;;;;
130;Polystichum braunii (Spenn.) Fée;Polystichum;braunii;(Spenn. ) Fee;;;;;;
131;Cyrtomium fortunei J.Sm.;Cyrtomium;fortunei;J. Sm.;;;;;;
132;Cyrtomium falcatum (L.f.) C.Presl;Cyrtomium;falcatum;(L. f. ) C. Presl;;;;;;
133;Struthiopteris spicant (L.) Weiss;Struthiopteris;spicant;(L. ) Weiss;;;;;;
134;Woodwardia radicans (L.) Sm.;Woodwardia;radicans;(L. ) Sm.;;;;;;
135;Salvinia natans (L.) All.;Salvinia;natans;(L. ) All.;;;;;;
136;Salvinia molesta D.S.Mitch.;Salvinia;molesta;D. S. Mitch.;;;;;;
137;Azolla filiculoides Lam.;Azolla;filiculoides;Lam.;;;;;;
138;Abies alba Mill.;Abies;alba;Mill.;;;;;;
139;Abies nebrodensis (Lojac.) Mattei;Abies;nebrodensis;(Lojac. ) Mattei;;;;;;
140;Picea abies (L.) H.Karst.;Picea;abies;(L. ) H. Karst.;;;;;;
141;Picea obovata Ledeb.;Picea;obovata;Ledeb.;;;;;;
142;Larix decidua Mill.;Larix;decidua;Mill.;;;;;;
143;Pinus pinaster Aiton subsp. pinaster;Pinus;pinaster;Aiton;subsp;pinaster;;;;
144;Pinus nigra J.F.Arnold subsp. nigra;Pinus;nigra;J. F. Arnold;subsp;nigra;;;;
145;Pinus nigra J.F.Arnold subsp. laricio Palib. ex Maire;Pinus;nigra;J. F. Arnold;subsp;laricio;Palib. ex Maire;;;
146;Pinus sylvestris L.;Pinus;sylvestris;L.;;;;;;
147;Pinus mugo Turra;Pinus;mugo;Turra;;;;;;
148;Pinus mugo Turra subsp. mugo;Pinus;mugo;Turra;subsp;mugo;;;;
149;Pinus mugo Turra subsp. uncinata (Ramond ex DC.) Domin;Pinus;mugo;Turra;subsp;uncinata;(Ramond ex DC. ) Domin;;;
150;Pinus heldreichii Christ subsp. leucodermis (Antoine) E.Murray;Pinus;heldreichii;Christ;subsp;leucodermis;(Antoine) E. Murray;;;
151;Pinus halepensis Mill. subsp. halepensis;Pinus;halepensis;Mill.;subsp;halepensis;;;;
152;Pinus halepensis Mill. subsp. brutia (Ten.) Holmboe;Pinus;halepensis;Mill.;subsp;brutia;(Ten. ) Holmboe;;;
153;Pinus pinea L.;Pinus;pinea;L.;;;;;;
154;Pinus cembra L.;Pinus;cembra;L.;;;;;;
155;Pinus strobus L.;Pinus;strobus;L.;;;;;;
156;Cupressus sempervirens L.;Cupressus;sempervirens;L.;;;;;;
157;Juniperus communis L.;Juniperus;communis;L.;;;;;;
158;Juniperus oxycedrus L.;Juniperus;oxycedrus;L.;;;;;;
159;Juniperus macrocarpa Sm.;Juniperus;macrocarpa;Sm.;;;;;;
160;Juniperus phoenicea L.;Juniperus;phoenicea;L.;;;;;;
161;Juniperus turbinata Guss.;Juniperus;turbinata;Guss.;;;;;;
162;Juniperus sabina L.;Juniperus;sabina;L.;;;;;;
163;Juniperus thurifera L.;Juniperus;thurifera;L.;;;;;;
164;Taxus baccata L.;Taxus;baccata;L.;;;;;;
165;Ephedra fragilis Desf.;Ephedra;fragilis;Desf.;;;;;;
166;Ephedra distachya L. subsp. distachya;Ephedra;distachya;L.;subsp;distachya;;;;
167;Ephedra distachya L. subsp. helvetica (C.A.Mey.) Asch. & Graebn.;Ephedra;distachya;L.;subsp;helvetica;(C. A. Mey. ) Asch. & Graebn.;;;
168;Ephedra major Host subsp. major;Ephedra;major;Host;subsp;major;;;;
169;Ephedra foeminea Forssk.;Ephedra;foeminea;Forssk.;;;;;;
170;Salix pentandra L.;Salix;pentandra;L.;;;;;;
171;Salix ×fragilis L.;Salix;×fragilis;L.;;;;;;
172;Salix alba L.;Salix;alba;L.;;;;;;
173;Salix babylonica L.;Salix;babylonica;L.;;;;;;
174;Salix triandra L. subsp. triandra;Salix;triandra;L.;subsp;triandra;;;;
175;Salix reticulata L.;Salix;reticulata;L.;;;;;;
176;Salix herbacea L.;Salix;herbacea;L.;;;;;;
177;Salix retusa L.;Salix;retusa;L.;;;;;;
178;Salix serpillifolia Scop.;Salix;serpillifolia;Scop.;;;;;;
179;Salix breviserrata Flod.;Salix;breviserrata;Flod.;;;;;;
180;Salix alpina Scop.;Salix;alpina;Scop.;;;;;;
181;Salix glaucosericea Flod.;Salix;glaucosericea;Flod.;;;;;;
182;Salix hegetschweileri Heer;Salix;hegetschweileri;Heer;;;;;;
183;Salix myrsinifolia Salisb.;Salix;myrsinifolia;Salisb.;;;;;;
184;Salix mielichhoferi Saut.;Salix;mielichhoferi;Saut.;;;;;;
185;Salix glabra Scop.;Salix;glabra;Scop.;;;;;;
186;Salix eriocephala Michx.;Salix;eriocephala;Michx.;;;;;;
187;Salix crataegifolia Bertol.;Salix;crataegifolia;Bertol.;;;;;;
188;Salix pedicellata Desf.;Salix;pedicellata;Desf.;;;;;;
189;Salix gussonei Brullo & Spamp.;Salix;gussonei;Brullo & Spamp.;;;;;;
190;Salix appendiculata Vill.;Salix;appendiculata;Vill.;;;;;;
191;Salix laggeri Wimm.;Salix;laggeri;Wimm.;;;;;;
192;Salix cinerea L.;Salix;cinerea;L.;;;;;;
193;Salix atrocinerea Brot. subsp. atrocinerea;Salix;atrocinerea;Brot.;subsp;atrocinerea;;;;
194;Salix aurita L.;Salix;aurita;L.;;;;;;
195;Salix caprea L.;Salix;caprea;L.;;;;;;
196;Salix repens L. subsp. repens;Salix;repens;L.;subsp;repens;;;;
197;Salix rosmarinifolia L.;Salix;rosmarinifolia;L.;;;;;;
198;Salix foetida Schleich. ex DC.;Salix;foetida;Schleich. ex DC.;;;;;;
199;Salix waldsteiniana Willd.;Salix;waldsteiniana;Willd.;;;;;;
200;Salix hastata L.;Salix;hastata;L.;;;;;;
201;Salix helvetica Vill.;Salix;helvetica;Vill.;;;;;;
202;Salix viminalis L.;Salix;viminalis;L.;;;;;;
203;Salix dasyclados Wimm.;Salix;dasyclados;Wimm.;;;;;;
204;Salix eleagnos Scop.;Salix;eleagnos;Scop.;;;;;;
205;Salix purpurea L.;Salix;purpurea;L.;;;;;;
206;Salix purpurea L. subsp. purpurea;Salix;purpurea;L.;subsp;purpurea;;;;
207;Salix purpurea L. subsp. angustior Lautenschl.;Salix;purpurea;L.;subsp;angustior;Lautenschl.;;;
208;Salix purpurea L. subsp. eburnea (Borzí) Cif. & Giacom. ex Pignatti;Salix;purpurea;L.;subsp;eburnea;(Borzi) Cif. & Giacom. ex Pignatti;;;
209;Salix amplexicaulis Bory;Salix;amplexicaulis;Bory;;;;;;
210;Salix caesia Vill.;Salix;caesia;Vill.;;;;;;
211;Salix daphnoides Vill.;Salix;daphnoides;Vill.;;;;;;
212;Salix oropotamica Brullo, Scelsi & Spamp.;Salix;oropotamica;Brullo, Scelsi & Spamp.;;;;;;
213;Salix ionica Brullo, Scelsi & Spamp.;Salix;ionica;Brullo, Scelsi & Spamp.;;;;;;
214;Salix arrigonii Brullo;Salix;arrigonii;Brullo;;;;;;
215;Salix brutia Brullo & Spamp.;Salix;brutia;Brullo & Spamp.;;;;;;
216;Salix tyrrhenica Brullo, Scelsi & Spamp.;Salix;tyrrhenica;Brullo, Scelsi & Spamp.;;;;;;
217;Populus alba L.;Populus;alba;L.;;;;;;
218;Populus canescens (Aiton) Sm.;Populus;canescens;(Aiton) Sm.;;;;;;
219;Populus tremula L.;Populus;tremula;L.;;;;;;
220;Populus nigra L. subsp. nigra;Populus;nigra;L.;subsp;nigra;;;;
221;Populus ×canadensis Moench;Populus;×canadensis;Moench;;;;;;
222;Populus deltoides W.Bartram ex Marshall;Populus;deltoides;W. Bartram ex Marshall;;;;;;
223;Saururus cernuus L.;Saururus;cernuus;L.;;;;;;
224;Juglans regia L.;Juglans;regia;L.;;;;;;
225;Juglans nigra L.;Juglans;nigra;L.;;;;;;
226;Juglans cinerea L.;Juglans;cinerea;L.;;;;;;
227;Betula pendula Roth;Betula;pendula;Roth;;;;;;
228;Betula etnensis Raf.;Betula;etnensis;Raf.;;;;;;
229;Betula pubescens Ehrh.;Betula;pubescens;Ehrh.;;;;;;
230;Betula nana L. subsp. nana;Betula;nana;L.;subsp;nana;;;;
231;Alnus alnobetula (Ehrh.) K.Koch;Alnus;alnobetula;(Ehrh. ) K. Koch;;;;;;
232;Alnus glutinosa (L.) Gaertn.;Alnus;glutinosa;(L. ) Gaertn.;;;;;;
233;Alnus incana (L.) Moench;Alnus;incana;(L. ) Moench;;;;;;
234;Alnus cordata (Loisel.) Duby;Alnus;cordata;(Loisel. ) Duby;;;;;;
235;Carpinus betulus L.;Carpinus;betulus;L.;;;;;;
236;Carpinus orientalis Mill. subsp. orientalis;Carpinus;orientalis;Mill.;subsp;orientalis;;;;
237;Ostrya carpinifolia Scop.;Ostrya;carpinifolia;Scop.;;;;;;
238;Corylus avellana L.;Corylus;avellana;L.;;;;;;
239;Corylus maxima Mill.;Corylus;maxima;Mill.;;;;;;
240;Corylus colurna L.;Corylus;colurna;L.;;;;;;
241;Fagus sylvatica L. subsp. sylvatica;Fagus;sylvatica;L.;subsp;sylvatica;;;;
242;Castanea sativa Mill.;Castanea;sativa;Mill.;;;;;;
243;Quercus rubra L.;Quercus;rubra;L.;;;;;;
244;Quercus coccifera L.;Quercus;coccifera;L.;;;;;;
245;Quercus ilex L.;Quercus;ilex;L.;;;;;;
246;Quercus suber L.;Quercus;suber;L.;;;;;;
247;Quercus trojana Webb subsp. trojana;Quercus;trojana;Webb;subsp;trojana;;;;
248;Quercus ithaburensis Decne. subsp. macrolepis (Kotschy) Hedge & Yalt.;Quercus;ithaburensis;Decne.;subsp;macrolepis;(Kotschy) Hedge & Yalt.;;;
249;Quercus cerris L.;Quercus;cerris;L.;;;;;;
250;Quercus petraea (Matt.) Liebl. subsp. petraea;Quercus;petraea;(Matt. ) Liebl.;subsp;petraea;;;;
251;Quercus robur L.;Quercus;robur;L.;;;;;;
252;Quercus robur L. subsp. robur;Quercus;robur;L.;subsp;robur;;;;
253;Quercus robur L. subsp. brutia (Ten.) O.Schwarz;Quercus;robur;L.;subsp;brutia;(Ten. ) O. Schwarz;;;
254;Quercus pubescens Willd. subsp. pubescens;Quercus;pubescens;Willd.;subsp;pubescens;;;;
255;Quercus frainetto Ten.;Quercus;frainetto;Ten.;;;;;;
256;Quercus pyrenaica Willd.;Quercus;pyrenaica;Willd.;;;;;;
257;Ulmus glabra Huds.;Ulmus;glabra;Huds.;;;;;;
258;Ulmus minor Mill.;Ulmus;minor;Mill.;;;;;;
259;Ulmus minor Mill. subsp. minor;Ulmus;minor;Mill.;subsp;minor;;;;
260;Ulmus minor Mill. subsp. canescens Bartolucci & Galasso;Ulmus;minor;Mill.;subsp;canescens;Bartolucci & Galasso;;;
261;Ulmus laevis Pall.;Ulmus;laevis;Pall.;;;;;;
262;Ulmus pumila L.;Ulmus;pumila;L.;;;;;;
263;Celtis australis L. subsp. australis;Celtis;australis;L.;subsp;australis;;;;
264;Celtis tournefortii Lam.;Celtis;tournefortii;Lam.;;;;;;
265;Celtis occidentalis L.;Celtis;occidentalis;L.;;;;;;
266;Zelkova sicula Di Pasq., Garfì & Quézel;Zelkova;sicula;Di Pasq. , Garfi & Quezel;;;;;;
267;Broussonetia papyrifera (L.) Vent.;Broussonetia;papyrifera;(L. ) Vent.;;;;;;
268;Morus alba L.;Morus;alba;L.;;;;;;
269;Morus nigra L.;Morus;nigra;L.;;;;;;
270;Maclura pomifera (Raf.) C.K.Schneid.;Maclura;pomifera;(Raf. ) C. K. Schneid.;;;;;;
271;Ficus carica L.;Ficus;carica;L.;;;;;;
272;Humulus lupulus L.;Humulus;lupulus;L.;;;;;;
273;Humulus japonicus Siebold & Zucc.;Humulus;japonicus;Siebold & Zucc.;;;;;;
274;Cannabis sativa L.;Cannabis;sativa;L.;;;;;;
275;Urtica atrovirens Req. ex Loisel.;Urtica;atrovirens;Req. ex Loisel.;;;;;;
276;Urtica rupestris Guss.;Urtica;rupestris;Guss.;;;;;;
277;Urtica urens L.;Urtica;urens;L.;;;;;;
278;Urtica membranacea Poir.;Urtica;membranacea;Poir.;;;;;;
279;Urtica pilulifera L.;Urtica;pilulifera;L.;;;;;;
280;Boehmeria nivea (L.) Gaudich.;Boehmeria;nivea;(L. ) Gaudich.;;;;;;
281;Parietaria officinalis L.;Parietaria;officinalis;L.;;;;;;
282;Parietaria judaica L.;Parietaria;judaica;L.;;;;;;
283;Parietaria lusitanica L. subsp. lusitanica;Parietaria;lusitanica;L.;subsp;lusitanica;;;;
284;Parietaria mauritanica Durieu;Parietaria;mauritanica;Durieu;;;;;;
285;Parietaria cretica L.;Parietaria;cretica;L.;;;;;;
286;Soleirolia soleirolii (Req.) Dandy;Soleirolia;soleirolii;(Req. ) Dandy;;;;;;
287;Osyris alba L.;Osyris;alba;L.;;;;;;
288;Thesium ebracteatum Hayne;Thesium;ebracteatum;Hayne;;;;;;
289;Thesium alpinum L.;Thesium;alpinum;L.;;;;;;
290;Thesium pyrenaicum Pourr.;Thesium;pyrenaicum;Pourr.;;;;;;
291;Thesium pyrenaicum Pourr. subsp. pyrenaicum;Thesium;pyrenaicum;Pourr.;subsp;pyrenaicum;;;;
292;Thesium pyrenaicum Pourr. subsp. grandiflorum (DC.) Hendrych;Thesium;pyrenaicum;Pourr.;subsp;grandiflorum;(DC. ) Hendrych;;;
293;Thesium rostratum Mert. & W.D.J.Koch;Thesium;rostratum;Mert. & W. D. J. Koch;;;;;;
294;Thesium ramosum Hayne;Thesium;ramosum;Hayne;;;;;;
295;Thesium sommieri Hendrych;Thesium;sommieri;Hendrych;;;;;;
296;Thesium parnassi A.DC.;Thesium;parnassi;A. DC.;;;;;;
297;Thesium italicum A.DC.;Thesium;italicum;A. DC.;;;;;;
298;Thesium bavarum Schrank;Thesium;bavarum;Schrank;;;;;;
